name,age,gender,occupation,location,relationship_status,birthday_season,birthday_day,heart_level_max,loved_gifts,liked_gifts,neutral_gifts,disliked_gifts,hated_gifts,schedule_location_morning,schedule_location_afternoon,schedule_location_evening,marriage_candidate,personality_type,hobby
Abigail,22,Female,Student,Pelican Town,Single,Fall,13,10,"Amethyst;Blackberry Cobbler;Chocolate Cake;Pufferfish;Pumpkin;Spicy Eel","Universal Loves except Prismatic Shard","Most Artisan Goods;Most Cooked Dishes;Most Flowers","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Cactus Fruit;Copper Ore;Gold Ore;Iridium Ore;Iron Ore;Oil;Quartz;Salmonberry;Stone",Pierre's Shop,Cemetery,Home,Yes,Adventurous,Gaming/Adventure
Alex,24,Male,Athlete,Pelican Town,Single,Summer,13,10,"Complete Breakfast;Salmon Dinner","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Oil;Pickles;Salmonberry;Trash;Algae","Dusty's Dog House",Beach,Dog House,Yes,Athletic,Sports/Fitness
Caroline,40,Female,Shopkeeper,Pelican Town,Married,Winter,7,10,"Fish Taco;Summer Spangle","Universal Loves","Most Artisan Goods;Most Flowers;Most Gems","Clay;Copper Ore;Iron Ore","Holly;Nautilus Shell;Oil;Salmonberry;Trash",Pierre's Shop,Garden,Pierre's Shop,No,Nurturing,Gardening
Clint,45,Male,Blacksmith,Pelican Town,Single,Winter,26,10,"Amethyst;Aquamarine;Artichoke Dip;Emerald;Fudge;Gold Bar;Iridium Bar;Jade;Ruby;Topaz","Universal Loves","Most Gems;Most Minerals","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Salmonberry;Cactus Fruit","Blacksmith Shop","Blacksmith Shop","Blacksmith Shop",No,Gruff,Metalwork
Demetrius,48,Male,Scientist,Mountain,Married,Summer,19,10,"Bean Hotpot;Ice Cream;Rice Pudding;Strawberry","Universal Loves","Most Artisan Goods;Most Eggs;Most Fruit;Most Vegetables","Clay;Copper Ore;Iron Ore","Algae;Holly;Mayonnaise;Oil;Salmonberry;Trash",Laboratory,Laboratory,Home,No,Analytical,Science/Research
Elliott,35,Male,Writer,Beach,Single,Fall,5,10,"Crab Cakes;Duck Feather;Lobster;Pomegranate;Tom Kah Soup","Universal Loves","Most Artisan Goods;Most Fruits except Salmonberry","Bread;Clay;Daffodil;Dandelion","Amaranth;Holly;Maki Roll;Pizza;Salmonberry;Salmon Dinner",Cabin on Beach,Library/Museum,Stardrop Saloon,Yes,Romantic,Writing/Poetry
Emily,27,Female,Tailor,Pelican Town,Single,Spring,27,10,"Amethyst;Aquamarine;Cloth;Emerald;Jade;Ruby;Survival Burger;Topaz;Wool","Universal Loves","Most Artisan Goods;Most Flowers;Most Fruits;Most Gems","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Fish;Ice Cream;Mayonnaise;Mead;Oil;Rice Pudding;Salmonberry",Home,Desert/Ginger Island,Stardrop Saloon,Yes,Spiritual,Crystals/Fashion
Evelyn,78,Female,Grandmother,Pelican Town,Widowed,Winter,20,10,"Beet;Chocolate Cake;Diamond;Fairy Rose;Stuffing;Tulip Bulb","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Flowers","Clay;Copper Ore;Gold Ore;Iron Ore","Garlic;Holly;Oil;Salmonberry;Wild Horseradish",Garden,Garden,Home,No,Grandmotherly,Cooking/Baking
George,78,Male,Retired,Pelican Town,Married,Fall,24,10,"Fried Mushroom;Leek","Universal Loves","Most Artisan Goods except Oil and Mayonnaise","Clay;Copper Ore;Daffodil;Dandelion;Gold Ore;Iron Ore","Dandelion;Holly;Oil;Salmonberry;Wild Horseradish",Home,Home,Home,No,Cantankerous,TV/Complaining
Gus,45,Male,Chef,Pelican Town,Single,Summer,8,10,"Diamond;Escargot;Fish Taco;Orange;Tropical Curry","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Eggs;Most Fruits;Most Vegetables","Clay;Copper Ore;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Salmonberry;Trash",Stardrop Saloon,Stardrop Saloon,Stardrop Saloon,No,Friendly,Cooking/Hospitality
Harvey,35,Male,Doctor,Pelican Town,Single,Winter,14,10,"Coffee;Pickles;Super Meal;Truffle Oil;Wine","Universal Loves","Most Artisan Goods;Most Fruits;Most Vegetables","Clay;Daffodil;Dandelion;Hazelnut;Leek;Snow Yam;Spring Onion;Wild Horseradish","Algae;Coral;Mayonnaise;Oil;Rainbow Shell;Salmonberry;Sea Urchin",Harvey's Clinic,Harvey's Clinic,Harvey's Clinic,Yes,Cautious,Medicine/Health
Haley,22,Female,Photographer,Pelican Town,Single,Spring,14,10,"Coconut;Fruit Salad;Pink Cake;Sunflower","Universal Loves","Most Artisan Goods;Most Flowers except Dandelion","Clay;Copper Ore;Gold Ore;Iron Ore;Wild Horseradish","Dandelion;Holly;Mayonnaise;Oil;Prismatic Shard;Salmonberry",Home,Beach,Home,Yes,Vain,Photography/Fashion
Jas,8,Female,Child,Pelican Town,Single,Summer,4,10,"Fairy Rose;Pink Cake;Plum Pudding","Universal Loves","Most Artisan Goods;Most Flowers;Most Fruits","Clay;Copper Ore;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Salmonberry;Wild Horseradish",Marnie's Ranch,Playground,Home,No,Playful,Playing/Dolls
Jodi,40,Female,Housewife,Pelican Town,Married,Fall,11,10,"Chocolate Cake;Crispy Bass;Diamond;Eggplant Parmesan;Fried Eel;Pancakes;Rhubarb Pie;Vegetable Medley","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Flowers;Most Fruits","Clay;Copper Ore;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Quartz;Salmonberry;Trash",Home,Home,Home,No,Motherly,Cooking/Family
Kent,47,Male,Soldier,Pelican Town,Married,Spring,4,10,"Fiddlehead Risotto;Roasted Hazelnuts","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Eggs;Most Milk","Clay;Copper Ore;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Salmonberry;Trash",Home,JojaMart,Home,No,Veteran,Military History
Leah,32,Female,Artist,Forest,Single,Winter,23,10,"Goat Cheese;Poppyseed Muffin;Salad;Stir Fry;Truffle;Vegetable Medley;Wine","Universal Loves","Most Artisan Goods;Most Eggs;Most Fruits except Salmonberry;Most Milk;Most Vegetables","Bread;Clay;Copper Ore;Driftwood;Gold Ore;Iron Ore","Holly;Mayonnaise;Oil;Salmonberry;Survival Burger;Trash",Cottage,Forest,Cottage,Yes,Artistic,Sculpting/Art
Lewis,65,Male,Mayor,Pelican Town,Single,Spring,7,10,"Autumn's Bounty;Glazed Yams;Hot Pepper;Vegetable Medley","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk;Most Vegetables","Blueberry;Cactus Fruit;Clay;Coconut;Crystal Fruit;Grape;Hot Pepper;Salmonberry;Spice Berry;Wild Plum","Algae;Cactus Spine;Holly;Mayonnaise;Oil;Pickles;Seaweed;Trash",Mayor's Manor,Community Center,Mayor's Manor,No,Political,Town Management
Linus,55,Male,Hermit,Mountain,Single,Winter,3,10,"Blueberry Tart;Cactus Fruit;Coconut;Dish O' The Sea;Yam","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Eggs;Most Fruits;Most Milk;Most Vegetables","Life Elixir","Bread;Dandelion;Holly;Mayonnaise;Oil;Pizza","Tent on Mountain","Mountain Lake",Mountain Tent,No,Reclusive,Nature/Foraging
Marnie,50,Female,Rancher,Pelican Town,Single,Fall,18,10,"Diamond;Farmer's Lunch;Pink Cake;Pumpkin Pie","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk","Clay;Copper Ore;Gold Ore;Iron Ore;Quartz","Holly;Mayonnaise;Oil;Salmonberry;Trash",Marnie's Ranch,Marnie's Ranch,Stardrop Saloon,No,Caring,Animal Care
Maru,22,Female,Nurse/Inventor,Mountain,Single,Summer,10,10,"Battery Pack;Cauliflower;Cheese Cauliflower;Diamond;Gold Bar;Iridium Bar;Miner's Treat;Pepper Poppers;Radioactive Bar;Rhubarb Pie;Strawberry","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Gems;Most Minerals","Clay;Copper Ore;Gold Ore;Iron Ore;Oak Resin","Holly;Honey;Mayonnaise;Oil;Pickles;Salmonberry;Trash",Harvey's Clinic,Laboratory,Home,Yes,Scientific,Inventions/Gadgets
Pam,55,Female,Bus Driver,Pelican Town,Single,Spring,18,10,"Beer;Cactus Fruit;Glazed Yams;Mead;Pale Ale;Parsnip Soup;Pina Colada","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Fruits;Most Vegetables","Clay;Copper Ore;Gold Ore;Iron Ore","Dandelion;Holly;Mayonnaise;Oil;Salmonberry;Wine",Trailer,Desert,Stardrop Saloon,No,Alcoholic,Drinking/Complaints
Penny,23,Female,Teacher,Pelican Town,Single,Fall,2,10,"Diamond;Emerald;Melon;Poppy;Red Plate;Roots Platter;Sandfish;Tom Kah Soup","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Most Flowers;Most Fruits;Most Milk","Clay;Dandelion;Life Elixir","Beer;Grape;Holly;Hops;Mayonnaise;Mead;Oil;Pale Ale;Pina Colada;Rabbit's Foot;Salmonberry;Wine",Trailer,Library/Museum,Trailer,Yes,Shy,Teaching/Reading
Pierre,42,Male,Shopkeeper,Pelican Town,Married,Spring,26,10,"Fried Calamari","Universal Loves","Most Artisan Goods;Most Cooked Dishes","Clay;Dandelion;Life Elixir","Algae;Cactus Spine;Holly;Mayonnaise;Oil;Salmonberry;Seaweed;Trash",Pierre's Shop,Pierre's Shop,Home,No,Business-minded,Commerce/Competition
Robin,48,Female,Carpenter,Mountain,Married,Fall,21,10,"Goat Cheese;Peach;Spaghetti","Universal Loves","Most Artisan Goods;Most Cooked Dishes;Hardwood","Clay;Copper Ore;Gold Ore;Iron Ore;Life Elixir","Algae;Cactus Spine;Holly;Mayonnaise;Oil;Pickles;Salmonberry;Seaweed",Carpenter Shop,Carpenter Shop,Home,No,Hardworking,Carpentry/Building
Sam,21,Male,Musician,Pelican Town,Single,Summer,17,10,"Cactus Fruit;Maple Bar;Pizza;Tigerseye","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk","Bread;Clay;Dandelion;Life Elixir","Algae;Cactus Spine;Holly;Mayonnaise;Pickles;Salmonberry;Seaweed;Wine",Home,Beach,Stardrop Saloon,Yes,Energetic,Music/Skateboarding
Sebastian,24,Male,Programmer,Mountain,Single,Winter,10,10,"Frozen Tear;Obsidian;Pumpkin Soup;Sashimi;Void Egg","Universal Loves","Most Artisan Goods;Most Eggs;Most Milk;Most Vegetables","Bread;Clay;Dandelion;Life Elixir","Algae;Amaranth;Beet;Clay;Complete Breakfast;Farmer's Lunch;Omelet;Salmonberry",Home Basement,Home Basement,Stardrop Saloon,Yes,Introverted,Programming/Motorcycles
Shane,28,Male,Ranch Hand,Pelican Town,Single,Spring,20,10,"Beer;Hot Pepper;Pepper Poppers;Pizza","Universal Loves","Most Artisan Goods;Most Eggs;Most Fruits;Most Milk;Most Vegetables","Life Elixir","Algae;Clay;Holly;Mayonnaise;Pickles;Quartz;Salmonberry;Trash;Wild Horseradish",JojaMart,Marnie's Ranch,Stardrop Saloon,Yes,Depressed,Chickens/Beer
Vincent,9,Male,Child,Pelican Town,Single,Spring,10,10,"Cranberry Candy;Ginger Ale;Grape;Pink Cake;Snail","Universal Loves","Most Artisan Goods;Most Flowers;Most Fruits;Most Milk","Clay;Copper Ore;Gold Ore;Iron Ore;Life Elixir","Algae;Coffee;Energy Tonic;Holly;Mayonnaise;Oil;Salmonberry;Tea Set;Wine",Home,Playground,Home,No,Childlike,Playing/Bugs
Willy,65,Male,Fisherman,Beach,Single,Summer,24,10,"Catfish;Diamond;Iridium Bar;Mead;Octopus;Pumpkin;Sea Cucumber;Sturgeon","Universal Loves","Most Fish","Clay;Copper Ore;Gold Ore;Iron Ore;Life Elixir","Algae;Bread;Dandelion;Holly;Mayonnaise;Oil;Salmonberry;Trash",Fish Shop,Beach,Fish Shop,No,Nautical,Fishing/Sea Stories
Wizard,Unknown,Male,Wizard,Forest,Single,Winter,17,10,"Purple Mushroom;Solar Essence;Super Cucumber;Void Essence","Universal Loves","Most Gems;Most Minerals","Bread;Life Elixir","Algae;Beer;Clay;Holly;Mayonnaise;Oil;Salmonberry;Wine",Wizard Tower,Wizard Tower,Wizard Tower,No,Mystical,Magic/Research